Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
4E-12;68.10;38.30;52.80;86.70;6E-09;69.90;38.30;35.10;87.80;2E-11;65.9;24.2;47.8;86.7
4E-16;66.20;37.70;50.80;82.80;2E-07;68.60;37.70;21.10;89.20;2E-15;64;24.1;46.1;82.8
7E-08;68.60;23.00;24.40;89.00;1E-07;69.30;23.00;40.60;89.70;0E+00;62.2;24;44.5;79
4E-08;69.40;45.80;45.30;89.70;5E-08;69.60;45.80;52.80;89.60;0E+00;60.5;23.8;42.9;75.4
3E-07;69.00;42.10;49.10;89.70;6E-11;68.60;42.10;60.30;87.30;2E-07;68.4;17.3;18.9;89
2E-07;69.10;43.20;52.10;89.10;2E-13;66.60;43.20;57.90;83.50;3E-07;68.8;31.3;33.4;89.8
3E-07;68.80;39.50;51.00;88.90;3E-07;68.00;39.50;40.50;86.70;3E-07;69.1;40.2;41.8;89.7
4E-07;68.50;29.50;40.80;89.60;4E-07;68.80;29.50;26.60;89.70;3E-07;68.5;32.6;43.3;89.6
2E-07;69.00;47.70;52.10;89.70;4E-07;69.20;47.70;43.20;89.80;4E-07;68.2;26;44.8;88.6
3E-07;69.10;41.30;56.50;89.50;2E-07;69.50;41.30;52.90;89.50;3E-07;67.8;27.1;42.3;87
3E-07;68.60;40.30;53.00;88.90;4E-07;69.10;40.30;34.70;89.20;3E-07;67.9;25.8;46.4;88
1E-09;67.70;37.40;55.70;87.70;-5E-12;68.10;37.40;34.50;87.30;1E-10;68.3;26.3;45.1;87.2
-2E-14;65.70;36.90;53.60;83.60;2E-14;66.20;36.90;33.60;83.30;-5E-13;66.3;26.1;43.6;83.1
1E-16;63.80;36.40;51.50;79.80;-2E-16;64.30;36.40;32.70;79.40;2E-15;64.4;25.8;42.1;79.2
0E+00;62.00;35.90;49.60;76.10;0E+00;62.40;35.90;31.90;75.80;-1E-16;62.5;25.6;40.7;75.6
0E+00;60.30;35.40;47.80;72.70;0E+00;60.70;35.40;31.10;72.40;1E-17;60.8;25.4;39.4;72.2
0E+00;58.60;34.90;46.10;69.40;0E+00;59.00;34.90;30.40;69.20;0E+00;59.1;25.2;38.2;69
9E-07;66.80;47.90;63.80;89.90;1E-06;69.30;47.90;38.60;89.90;2E-06;68.7;30.6;40.9;89.9
6E-07;69.90;51.70;61.10;90.00;9E-07;69.50;51.70;36.70;90.00;1E-06;69.4;29.8;35.5;89.9
7E-07;69.80;49.00;60.20;90.00;1E-06;69.50;49.00;35.50;90.00;2E-07;68.9;24.6;25.2;89.8
5E-07;69.80;44.70;52.10;90.00;2E-07;68.90;44.70;23.60;89.80;2E-07;69;27.7;28.4;89.7
5E-08;69.20;37.40;37.50;89.70;1E-07;69.20;37.40;37.40;89.70;1E-07;69.3;41.1;41;89.7
4E-08;69.40;43.40;43.70;89.60;8E-08;69.40;43.40;43.60;89.60;2E-10;69;56.7;57.5;87.8
